customer_id,customer_type,age,gender,area,dietary_preference,spice_preference,avg_spending_npr,loyalty_member,loyalty_status,spending_category
1,Corporate,27,Male,Jorpati,No Preference,Medium,542,TRUE,Loyal,Medium
2,Local,54,Female,Kalanki,Non-Vegetarian,Medium,904,TRUE,Loyal,Medium
3,Local,26,Female,Putalisadak,Vegetarian,Medium,792,FALSE,Non-Loyal,Medium
4,Student,26,Female,Thamel,Non-Vegetarian,Medium,607,FALSE,Non-Loyal,Medium
5,Local,58,Male,Kalimati,Non-Vegetarian,Hot,336,FALSE,Non-Loyal,Low
6,Student,26,Female,New Baneshwor,Non-Vegetarian,Medium,283,TRUE,Loyal,Low
7,Local,55,Male,Bouddha,Vegetarian,Hot,375,FALSE,Non-Loyal,Low
8,Corporate,43,Male,Battisputali,Non-Vegetarian,Mild,568,FALSE,Non-Loyal,Medium
9,Local,42,Male,Kalimati,No Preference,Mild,992,FALSE,Non-Loyal,Medium
10,Local,54,Female,Battisputali,No Preference,Medium,957,FALSE,Non-Loyal,Medium
11,Tourist,59,Male,Chabahil,Vegetarian,Medium,969,FALSE,Non-Loyal,Medium
12,Local,56,Male,Baluwatar,Non-Vegetarian,Medium,664,TRUE,Loyal,Medium
13,Corporate,37,Male,Bouddha,No Preference,Medium,914,FALSE,Non-Loyal,Medium
14,Local,45,Male,Bouddha,Non-Vegetarian,Medium,472,FALSE,Non-Loyal,Low
15,Expat,27,Female,Bouddha,Vegetarian,Medium,1724,FALSE,Non-Loyal,High
16,Local,44,Female,Jorpati,No Preference,Mild,433,FALSE,Non-Loyal,Low
17,Local,40,Male,Maharajgunj,Vegetarian,Hot,528,FALSE,Non-Loyal,Medium
18,Tourist,62,Female,New Baneshwor,Vegetarian,Mild,2336,FALSE,Non-Loyal,High
19,Expat,30,Male,Putalisadak,Non-Vegetarian,Hot,1667,FALSE,Non-Loyal,High
20,Local,47,Female,Bouddha,Non-Vegetarian,Medium,615,FALSE,Non-Loyal,Medium
21,Local,46,Female,Jorpati,Non-Vegetarian,Medium,760,TRUE,Loyal,Medium
22,Local,25,Male,Koteshwor,No Preference,Hot,749,FALSE,Non-Loyal,Medium
23,Local,52,Male,Durbarmarg,No Preference,Medium,538,FALSE,Non-Loyal,Medium
24,Local,46,Male,Thamel,Non-Vegetarian,Mild,404,TRUE,Loyal,Low
25,Local,47,Female,Durbarmarg,No Preference,Hot,736,FALSE,Non-Loyal,Medium
26,Student,18,Female,Jorpati,Non-Vegetarian,Mild,200,TRUE,Loyal,Low
27,Student,25,Male,Kalanki,Non-Vegetarian,Medium,271,FALSE,Non-Loyal,Low
28,Student,19,Male,Chabahil,No Preference,Medium,588,FALSE,Non-Loyal,Medium
29,Local,42,Female,Kalimati,No Preference,Medium,877,TRUE,Loyal,Medium
30,Local,57,Male,Balkhu,Non-Vegetarian,Medium,634,FALSE,Non-Loyal,Medium
31,Tourist,54,Female,Thamel,No Preference,Mild,1558,FALSE,Non-Loyal,High
32,Local,36,Female,Durbarmarg,Non-Vegetarian,Medium,368,TRUE,Loyal,Low
33,Local,30,Female,Chabahil,Vegetarian,Mild,482,TRUE,Loyal,Low
34,Tourist,61,Male,Lazimpat,No Preference,Mild,2018,FALSE,Non-Loyal,High
35,Local,40,Male,Thamel,Vegetarian,Medium,833,FALSE,Non-Loyal,Medium
36,Local,53,Male,Balkhu,Vegetarian,Medium,372,FALSE,Non-Loyal,Low
37,Local,49,Male,Thamel,Vegetarian,Medium,636,TRUE,Loyal,Medium
38,Tourist,36,Female,Kalimati,Non-Vegetarian,Hot,1325,FALSE,Non-Loyal,High
39,Expat,45,Female,Kalimati,Vegetarian,Medium,1730,FALSE,Non-Loyal,High
40,Tourist,39,Male,Kalimati,Non-Vegetarian,Mild,1838,FALSE,Non-Loyal,High
41,Local,36,Female,Baluwatar,Non-Vegetarian,Medium,836,FALSE,Non-Loyal,Medium
42,Local,37,Female,Putalisadak,Vegetarian,Medium,333,FALSE,Non-Loyal,Low
43,Local,56,Male,Jorpati,Non-Vegetarian,Medium,742,TRUE,Loyal,Medium
44,Corporate,45,Male,Koteshwor,Vegetarian,Mild,1002,TRUE,Loyal,High
45,Local,50,Male,Durbarmarg,Vegetarian,Hot,542,FALSE,Non-Loyal,Medium
46,Local,21,Female,Koteshwor,Non-Vegetarian,Hot,945,TRUE,Loyal,Medium
47,Expat,21,Female,New Baneshwor,Non-Vegetarian,Medium,872,FALSE,Non-Loyal,Medium
48,Expat,39,Female,Koteshwor,Non-Vegetarian,Mild,1258,TRUE,Loyal,High
49,Tourist,32,Male,Lazimpat,No Preference,Mild,1058,FALSE,Non-Loyal,High
50,Tourist,31,Male,Balkhu,No Preference,Mild,2465,FALSE,Non-Loyal,High
51,Student,25,Female,Koteshwor,Non-Vegetarian,Hot,294,FALSE,Non-Loyal,Low
52,Local,30,Female,New Baneshwor,No Preference,Mild,846,TRUE,Loyal,Medium
53,Student,26,Male,Durbarmarg,No Preference,Hot,490,TRUE,Loyal,Low
54,Tourist,25,Female,Kalimati,Non-Vegetarian,Mild,1201,FALSE,Non-Loyal,High
55,Student,23,Male,Thamel,Non-Vegetarian,Medium,680,FALSE,Non-Loyal,Medium
56,Tourist,61,Female,Kalimati,Vegetarian,Mild,997,FALSE,Non-Loyal,Medium
57,Expat,34,Female,Baluwatar,No Preference,Medium,1177,FALSE,Non-Loyal,High
58,Student,22,Female,Kalanki,No Preference,Mild,395,FALSE,Non-Loyal,Low
59,Student,23,Male,Baluwatar,No Preference,Mild,427,FALSE,Non-Loyal,Low
60,Student,22,Female,Balkhu,Non-Vegetarian,Medium,372,FALSE,Non-Loyal,Low
61,Tourist,47,Female,Putalisadak,Non-Vegetarian,Mild,810,FALSE,Non-Loyal,Medium
62,Local,45,Male,Lazimpat,No Preference,Mild,440,FALSE,Non-Loyal,Low
63,Local,31,Female,Putalisadak,Vegetarian,Hot,432,FALSE,Non-Loyal,Low
64,Student,27,Female,New Baneshwor,Vegetarian,Mild,661,FALSE,Non-Loyal,Medium
65,Local,56,Female,Thamel,No Preference,Hot,481,FALSE,Non-Loyal,Low
66,Tourist,61,Male,Baluwatar,Non-Vegetarian,Mild,2132,FALSE,Non-Loyal,High
67,Tourist,56,Female,Kalimati,Non-Vegetarian,Mild,874,TRUE,Loyal,Medium
68,Expat,36,Male,Putalisadak,Non-Vegetarian,Mild,1462,FALSE,Non-Loyal,High
69,Local,43,Male,Lazimpat,Non-Vegetarian,Hot,961,FALSE,Non-Loyal,Medium
70,Local,39,Male,Jorpati,Non-Vegetarian,Medium,641,TRUE,Loyal,Medium
71,Local,51,Male,Jorpati,Vegetarian,Hot,617,FALSE,Non-Loyal,Medium
72,Local,35,Female,Lazimpat,Non-Vegetarian,Mild,889,FALSE,Non-Loyal,Medium
73,Local,49,Female,Kalimati,Non-Vegetarian,Mild,563,FALSE,Non-Loyal,Medium
74,Local,38,Female,Lazimpat,Non-Vegetarian,Medium,386,FALSE,Non-Loyal,Low
75,Local,22,Male,Balkhu,Non-Vegetarian,Medium,627,FALSE,Non-Loyal,Medium
76,Student,25,Female,Koteshwor,Vegetarian,Mild,277,FALSE,Non-Loyal,Low
77,Local,56,Female,Thamel,Vegetarian,Medium,306,TRUE,Loyal,Low
78,Local,38,Female,Durbarmarg,Non-Vegetarian,Medium,813,TRUE,Loyal,Medium
79,Local,21,Female,New Baneshwor,Non-Vegetarian,Mild,831,FALSE,Non-Loyal,Medium
80,Local,54,Male,Koteshwor,No Preference,Hot,579,FALSE,Non-Loyal,Medium
81,Student,18,Female,Jorpati,Non-Vegetarian,Medium,208,FALSE,Non-Loyal,Low
82,Local,41,Female,Lazimpat,No Preference,Hot,741,TRUE,Loyal,Medium
83,Local,37,Male,Thamel,Non-Vegetarian,Hot,340,FALSE,Non-Loyal,Low
84,Local,31,Female,New Baneshwor,Non-Vegetarian,Mild,326,FALSE,Non-Loyal,Low
